bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-177_task-wb2_run-02_bold	0.006085233	0.013426257	0	24.03578006	1.22476277	0.987045782	0.485775214	4037.516113	0.096806518	14	8.139534884	2.361062773	2.164146444	2.641951874	2.27709	0.0195558	-0.023423014	0.041242771	172	74	66	45	5.65315286	2.599999905	3.02702713	3.02702713	3	51.48356031	4.525384903	16.35164833	6.651162624	136972	2.45348835	63.0465126	32.73170853	5.305518296	60.61860657	439.7225952	443.6627808	42472	326.0799438	546.0026093	78.47966766	58.59421539
sub-177_task-wb2_run-03_bold	0.003398663	0.01683809	0	22.09501572	1.139523677	0.947519841	0.485072704	4125.768066	0.079721989	11	6.395348837	2.354281414	2.145243409	2.6350375	2.282563333	0.0124053	-0.022178747	0.040910963	172	74	66	45	5.73779263	2.599999905	3.02702713	3.02702713	3	44.64874215	4.508145332	16.24769974	6.616279125	137192	2.459302425	62.75842972	31.87124443	5.151434316	60.14452362	440.8840332	443.9447632	42258	327.7276047	546.7973785	77.3711319	51.24703217
sub-178_task-nad1_run-01_bold	0.001468636	0.004480338	0	23.00796501	1.297159236	1.027647779	0.514987471	2909.27832	0.046841411	0	0	2.191058988	2.054619841	2.352030456	2.166526667	0.0237833	0.00581557	0.007652049	154	66	74	45	5.503139987	2.599999905	3.02702713	3.02702713	3	66.70212285	4.986934662	16.50473785	7.331168652	128487	3.032467604	65.07597122	30.64804077	3.515967286	65.65813446	404.2447815	406.8961182	49687	298.9889496	513.9668884	73.93815613	82.21788025
sub-178_task-nad1_run-02_bold	0.00135987	0.005015369	0	22.60852734	1.253598664	1.014448072	0.515232649	2917.941162	0.058237829	0	0	2.184064851	2.043384395	2.348733491	2.160076667	0.0126089	0.005761493	0.008153578	154	66	74	45	5.49759331	2.599999905	3.02702713	3.02702713	3	68.78180178	4.986935139	16.62471771	7.305194855	128562	3.025974035	66.31039238	31.05887604	3.684754547	65.22486115	403.4529114	406.4220886	49591	299.0292206	512.8311768	73.92652893	79.01769257
sub-178_task-nad1_run-03_bold	0.001211234	0.005064847	0	21.74934704	1.231006913	1.019574759	0.515945065	2869.407227	0.051079904	0	0	2.177881885	2.038564484	2.34270117	2.15238	0.0106167	0.006157936	0.007952782	154	66	74	45	5.542735274	2.599999905	3.02702713	3.02702713	3	66.63612917	5.044698238	16.82474709	7.376623154	128664	3.038960934	67.3181839	31.18906593	3.500387388	65.12857819	403.333252	405.7532349	49515	299.1824738	512.4974121	73.2037735	79.88931274
sub-178_task-nad1_run-04_bold	0.001709545	0.005623014	0	21.32331669	1.208926148	1.024871053	0.515929824	2862.297607	0.063297134	0	0	2.182107966	2.038993948	2.348756616	2.158573333	0.011907	0.005988879	0.008402777	154	66	74	45	5.507230677	2.599999905	3.02702713	3.02702713	3	67.56684931	5.054325104	16.85839272	7.363636494	128578	3.032467604	67.6438343	31.41091156	3.652083803	65.14785767	402.9530945	405.5844116	49573	298.7376587	511.8857178	73.64505768	75.49227142
sub-179_task-wb2_run-01_bold	0.008637616	0.007199358	0	23.76341271	1.267060427	1.078266333	0.494780741	2922.808105	0.1030432	25	14.53488372	2.314099609	2.176590997	2.543981163	2.221726667	0.0183933	0.009925881	-0.001412932	172	66	74	45	5.29739615	2.599999905	3.02702713	3.02702713	3	61.60507396	5.275305271	15.28743649	7.401162624	133199	2.959302425	51.81453476	25.9879055	3.078224492	66.78605652	409.008667	410.7907104	45649	291.6848816	523.6023315	77.5449295	60.63650131
sub-179_task-wb2_run-02_bold	0.00195593	0.00655544	0	23.86482534	1.211968377	0.999548116	0.494834044	4221.151855	0.111854121	25	14.53488372	2.349115699	2.176310194	2.622153571	2.248883333	0.0183577	-0.017445505	0.029625757	172	74	66	45	5.160253321	2.599999905	3.02702713	3.02702713	3	46.61343546	3.697885752	14.690835	5.988371849	132837	2.965116262	51.4186058	26.29538536	3.562173634	65.40688324	408.9028015	411.4360352	46191	285.9215088	523.9244385	79.73088837	64.311203
sub-179_task-wb2_run-03_bold	0.002439884	0.008373393	0	27.68192446	1.219316475	0.993582967	0.495051829	4227.98584	0.179243666	60	34.88372093	2.351952525	2.176234212	2.633646696	2.245976667	0.0398692	-0.017094506	0.028580615	172	74	66	45	5.206941179	2.599999905	3.02702713	3.02702713	3	45.86873937	3.715125561	14.65673542	5.98255825	132963	2.947674513	51.37732544	25.94246292	3.631457229	64.69146729	408.3180542	411.2819824	46104	288.0822647	521.911911	78.98639679	57.41693878
sub-180_task-nad1_run-01_bold	0.004160519	0.014597809	0	24.43108107	1.238163014	0.953648794	0.505868733	2830.192871	0.05331597	0	0	2.25382719	2.145137695	2.461910541	2.154433333	0.0066129	0.012546369	-0.003034909	154	66	74	45	5.333224883	2.599999905	3.02702713	3.02702713	3	30.01874767	7.085683823	19.7051487	8.82467556	131248	2.558441639	77.78116837	33.33078384	3.524183628	78.43833923	484.5596313	487.9545593	46444	346.8441589	615.3301971	91.49235535	47.55959702
